frequency_mhz,block_started_at,configuration,dwell_us,round,control,phase_and_closure_pass,first_phase_pass_ms,maximum_observable_phase_bias_deg,maximum_observable_gain_error_db,error,analysis_json
5811.0,2026-09-08T22:22:35.133370+00:00,A,200,2,True,True,50.84360318948853,7.234115358076957,0.6764103056860338,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-200us-control-20260908T222617.293187Z/independent-analysis.json
5811.0,2026-09-08T22:22:35.133370+00:00,A,200,2,False,False,50.84359810772015,32.80151317219442,1.4171483687340645,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-200us-20260908T222626.631316Z/independent-analysis.json
5811.0,2026-09-08T22:22:35.133370+00:00,A,100,2,False,False,,36.31828667455114,2.4624310621293533,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-100us-20260908T222641.322420Z/independent-analysis.json
5811.0,2026-09-08T22:22:35.133370+00:00,A,200,3,False,True,20.93667073828589,2.4965837091787346,0.7647465310217711,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-200us-20260908T222656.033948Z/independent-analysis.json
5811.0,2026-09-08T22:22:35.133370+00:00,A,50,3,False,False,,60.47945470869755,7.354555845978239,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-50us-20260908T222710.858363Z/independent-analysis.json
5811.0,2026-09-08T22:22:35.133370+00:00,A,1000,3,False,True,25.122742634000723,3.797925665320199,0.17546277719431325,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-1000us-20260908T222725.732602Z/independent-analysis.json
5811.0,2026-09-08T22:22:35.133370+00:00,A,200,3,True,False,50.84302003501171,10.597398821644171,1.3176581215609344,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-200us-control-20260908T222740.934092Z/independent-analysis.json
5811.0,2026-09-08T22:22:35.133370+00:00,A,25,3,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-25us-20260908T222755.811703Z/independent-analysis.json
5811.0,2026-09-08T22:22:35.133370+00:00,A,100,3,False,False,50.24862499530046,8.387146558585544,1.1563930374899751,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-100us-20260908T222810.962634Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,A,1000,1,True,True,25.12437466680627,3.2996630322783624,0.6925529159597106,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r1-A-1000us-control-20260908T223540.792355Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,100,1,False,False,50.24611700770262,12.744913260069387,0.8816885181213672,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r1-B-100us-20260908T223555.226309Z/independent-analysis.json
