run_json,block_started_at,dataset_class,observable_ports,unobservable_ports,frequency_mhz,configuration,dwell_us,round,control,method,origin_shift_us,maximum_phase_deg,maximum_gain_db,phase_closure_pass_diagnostic_only,base_window_phase_closure_pass,base_observation_ms,base_weighted_phase_rms_deg,report_status
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-control-20260908T171927.665074Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,200,3,True,past-only rolling 50 ms,220.0,0.7672403769477669,0.4344743437586232,True,True,50,0.8433211806355975,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-1000us-20260908T171942.631329Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,1000,3,False,whole-record reference-labeled,-0.5,0.6953317676125657,0.5004586388430993,True,True,6.278030905862213,1.8752336247322938,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-1000us-20260908T171942.631329Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,1000,3,False,past-only frozen,-0.5,11.919147719296802,1.8010597114741047,False,False,6.2786048931215666,3.6151869158641743,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-1000us-20260908T171942.631329Z/run.json,2026-09-08T17:16:00.754232+00:00,exploratory replay,ANT1 ANT2 ANT4 ANT8 ANT7 ANT5,,2475.0,A,1000,3,False,past-only rolling 50 ms,-0.5,0.4912557696679494,0.5521300433776459,True,True,50,0.7565344445103338,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-1000us-20260908T230022.539257Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,1000,1,False,whole-record reference-labeled,1017.5000000000001,1.1880268266144545,0.33999716500702715,True,True,6.281448325931845,2.1827809128362285,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-1000us-20260908T230022.539257Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,1000,1,False,past-only frozen,1017.5000000000001,3.1784332873881,1.1666683538103113,False,False,6.281689247626861,2.3989418221298826,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-1000us-20260908T230022.539257Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,1000,1,False,past-only rolling 50 ms,1017.5000000000001,1.1443963867438962,0.27861227846558845,True,True,50,0.7943470206901445,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-50us-20260908T230038.248996Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,50,1,False,whole-record reference-labeled,61.49999999999999,12.610798085303625,6.6374216878500345,False,False,0.5982826218952151,41.00421892195353,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-50us-20260908T230038.248996Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,50,1,False,past-only frozen,61.49999999999999,25.37432382340445,12.06644820549381,False,False,0.5982824876185453,44.526929293333694,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-50us-20260908T230038.248996Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,50,1,False,past-only rolling 50 ms,61.49999999999999,0.9893170417970146,0.7414901266853202,True,True,50,1.2853401164631237,analyzed
