run_json,frequency_mhz,port,gain_db,amplitude,phase_rms_10ms_deg,coherence
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT2-20260908T222247.998896Z/run.json,5811.0,ANT2,60,0.005330666795955653,2.6405689017425678,0.12222828104371644
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT4-20260908T222301.091267Z/run.json,5811.0,ANT4,60,0.002556765076936273,5.192490195114959,0.058696467205183324
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT5-20260908T222340.920500Z/run.json,5811.0,ANT5,60,0.002013809652181029,6.6704526141113325,0.04635534590323375
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT7-20260908T222327.806735Z/run.json,5811.0,ANT7,60,0.003449449474282633,3.8497504436258434,0.07948270863766889
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-ref-before-ANT8-20260908T222315.002679Z/run.json,5811.0,ANT8,60,0.0028451601856950095,4.872047157905893,0.06418432294884868
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-after-A-ANT5-20260908T224225.325172Z/run.json,5811.0,ANT5,60,0.0019489621495169679,7.627233149054501,0.04471102406190659
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-after-B-ANT1-20260908T224209.124850Z/run.json,5811.0,ANT1,60,0.0010719394798282555,14.782932358971888,0.02104846428678771
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-after-B-ANT2-20260908T224154.819808Z/run.json,5811.0,ANT2,60,0.0054808591500196315,2.8311674041791153,0.11513248121125345
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-after-B-ANT4-20260908T224141.716171Z/run.json,5811.0,ANT4,60,0.0025682063949570293,5.1916617376922005,0.05480964266523295
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-after-B-ANT5-20260908T224059.106571Z/run.json,5811.0,ANT5,60,0.0020378234036333783,6.9004820145525345,0.04325912276973179
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-after-B-ANT7-20260908T224112.191104Z/run.json,5811.0,ANT7,60,0.003526549202617555,3.8843904991071496,0.07458589742729188
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-after-B-ANT8-20260908T224126.515824Z/run.json,5811.0,ANT8,60,0.0028239782801421425,5.055356922895277,0.058948486736772075
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-A-ANT1-20260908T223136.735941Z/run.json,5811.0,ANT1,60,0.0010019706741003593,14.534289130565394,0.02061529623372278
