block,frequency_hz,configuration,dwell_us,round,main_phase_rms_deg,control_phase_rms_deg,phase_rms_difference_deg,pair_phase_gain_bracket_pass,main_run_json,control_run_json
block-20260911T183613359169Z,2475000000,D,1000,1,19.72763748365729,5.703844858030414,14.023792625626875,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r1-D-1000us-20260911T183819.137500Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r1-A-1000us-control-20260911T183947.661560Z/run.json
block-20260911T183613359169Z,2475000000,D,200,1,2.490528094920993,1.8846882754612948,0.6058398194596983,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r1-D-200us-20260911T183916.767210Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r1-A-200us-control-20260911T183907.323058Z/run.json
block-20260911T183613359169Z,2475000000,D,1000,2,6.3332764861351025,,,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r2-D-1000us-20260911T184103.234449Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r2-A-1000us-control-20260911T184033.242530Z/run.json
block-20260911T183613359169Z,2475000000,D,200,2,,4.153614661307834,,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r2-D-200us-20260911T184128.110804Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r2-A-200us-control-20260911T184119.184077Z/run.json
block-20260911T183613359169Z,2475000000,D,1000,3,4.0880473857900075,1.2655462273901161,2.8225011583998914,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r3-D-1000us-20260911T184214.160241Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r3-A-1000us-control-20260911T184247.665824Z/run.json
block-20260911T183613359169Z,2475000000,D,200,3,7.9428702639993904,18.73209350345175,-10.78922323945236,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r3-D-200us-20260911T184318.156551Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T183613359169Z-r3-A-200us-control-20260911T184159.627499Z/run.json
block-20260911T184646814791Z,2475000000,B,1000,1,,81.16359227993259,,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r1-B-1000us-20260911T184855.512062Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r1-A-1000us-control-20260911T185022.991728Z/run.json
block-20260911T184646814791Z,2475000000,B,200,1,2.8125663110752335,49.894793434421125,-47.08222712334589,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r1-B-200us-20260911T184951.717209Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r1-A-200us-control-20260911T184942.777596Z/run.json
block-20260911T184646814791Z,2475000000,B,1000,2,5.882818070567877,55.89324917420011,-50.01043110363223,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r2-B-1000us-20260911T185139.035326Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r2-A-1000us-control-20260911T185108.803297Z/run.json
block-20260911T184646814791Z,2475000000,B,200,2,0.7299401080910629,30.59047668761818,-29.860536579527118,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r2-B-200us-20260911T185203.258943Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r2-A-200us-control-20260911T185154.265227Z/run.json
block-20260911T184646814791Z,2475000000,B,1000,3,1.4730950582889546,74.9271622384326,-73.45406718014365,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r3-B-1000us-20260911T185249.113443Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r3-A-1000us-control-20260911T185320.375869Z/run.json
block-20260911T184646814791Z,2475000000,B,200,3,3.0894808009650467,80.69382238219288,-77.60434158122783,False,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r3-B-200us-20260911T185351.034518Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-v1/captures/block-20260911T184646814791Z-r3-A-200us-control-20260911T185234.458334Z/run.json
