block,configuration,dwell_us,main_attempts,main_passes,three_independent_main_trials,control_attempts,control_passes,controls_complete,controls_pass,bracket_pass,clean_condition_pass,frequency_hz,bearing_passes,joint_main_passes,clean_phase_and_bearing,base_rms_deg_reported_trials,base_rms_deg_median,base_rms_deg_max,bearing_rms_deg_reported_trials,bearing_rms_deg_median,bearing_rms_deg_max,bearing_valid_percent_reported_trials,bearing_valid_percent_median,bearing_valid_percent_max,p95_compute_ms_reported_trials,p95_compute_ms_median,p95_compute_ms_max
block-20260911T212846818552Z,B,1000,3,3,True,6,6,True,True,True,True,5800000000,0,0,False,3,7.656877706379897,8.465483877591252,3,67.40519329621378,70.57646447777711,3,0.0,0.0,3,970.8485456183553,976.6166917746887
block-20260911T211805001077Z,D,25,3,0,True,6,6,True,True,True,False,5800000000,0,0,False,3,40.385134208238036,43.83291873276441,3,90.54640870783942,102.37497546888,3,5.0,8.333333333333332,3,543.1628335849382,556.918099639006
block-20260911T211805001077Z,D,50,3,0,True,6,6,True,True,True,False,5800000000,0,0,False,3,14.636486121459038,15.106538711460857,3,73.83725576002617,88.5435747452986,3,0.0,0.0,3,549.6930996188894,563.630718854256
block-20260911T211805001077Z,D,100,3,3,True,6,6,True,True,True,True,5800000000,0,0,False,3,9.901173640200055,9.963125817297831,3,75.17358561369423,82.8423319608199,3,0.0,0.0,3,555.3892802796327,562.9372236551717
block-20260911T211805001077Z,D,200,3,3,True,6,6,True,True,True,True,5800000000,0,0,False,3,8.213167372603845,8.602727416524317,3,57.03469013271356,75.40613266972645,3,0.0,0.0,3,577.1373818162829,602.017885283567
block-20260911T211805001077Z,D,1000,3,3,True,6,6,True,True,True,True,5800000000,0,0,False,3,7.721419610063711,7.77423960633406,3,66.67299911068429,78.46747345682228,3,0.0,0.0,3,953.3493163762614,993.8433862407692
block-20260911T220948222664Z,B,25,3,0,True,6,2,True,False,False,False,5811000000,0,0,False,3,47.85566790322653,50.171945392598296,3,71.10502460010653,76.6687127029226,3,5.0,5.0,3,553.6745617515408,576.5950682573019
block-20260911T220948222664Z,B,50,3,0,True,6,2,True,False,False,False,5811000000,0,0,False,3,14.292501161193536,18.332880867353857,3,34.33339373823404,34.591926449314705,3,0.0,3.3333333333333335,3,557.513735583052,568.9470218727365
block-20260911T220948222664Z,B,100,3,1,True,6,2,True,False,False,False,5811000000,0,0,False,3,11.175304510886127,11.383078530694924,3,23.610133450264577,28.771784387088815,3,0.0,0.0,3,569.2196386400609,575.8619893691503
block-20260911T220948222664Z,B,200,3,1,True,6,2,True,False,False,False,5811000000,0,0,False,3,13.568158854502181,14.065141426157354,3,29.912745837801562,39.61423842169132,3,0.0,0.0,3,583.1513569690287,727.9019225621595
block-20260911T220948222664Z,B,1000,3,2,True,6,2,True,False,False,False,5811000000,0,0,False,3,8.273850496131725,9.169996493666082,3,13.376000276277535,13.41026501467334,3,0.0,0.0,3,983.2500528427772,986.5370493964292
block-20260911T215918963889Z,D,25,3,0,True,6,5,True,False,True,False,5811000000,0,0,False,3,48.331147948426036,51.095547539419385,3,79.13801888853726,80.01111897376666,3,3.3333333333333335,5.0,3,543.9284676569514,558.3861066843383
block-20260911T215918963889Z,D,50,3,0,True,6,5,True,False,True,False,5811000000,0,0,False,3,14.346554852638322,16.344412673415572,3,37.77180948281011,46.11993356571219,3,0.0,0.0,3,539.2388502368703,545.370727556292
block-20260911T215918963889Z,D,100,3,0,True,6,5,True,False,True,False,5811000000,0,0,False,3,10.712490543653457,11.974168244519587,3,25.287594111064397,25.973692319695473,3,0.0,0.0,3,553.6217392771505,571.2665316415951
block-20260911T215918963889Z,D,200,3,3,True,6,5,True,False,True,False,5811000000,0,0,False,3,9.09013959957438,9.425675493549509,3,22.294967720653634,33.62764212643375,3,0.0,0.0,3,602.414647990372,612.0207757805474
block-20260911T215918963889Z,D,1000,3,3,True,6,5,True,False,True,False,5811000000,0,0,False,3,8.170574603824338,8.282473817349297,3,13.289638348441553,16.0159768045203,3,0.0,0.0,3,980.6314237997867,1003.5355436149985
