frequency_hz,tx_port,status,phase_10deg_wall_latency_ms,full_bearing_deg,full_bearing_valid,full_bearing_residual_phase_rms_deg,nominal_51mm_bearing_deg,nominal_51mm_valid,error,run_json,run_sha256
5740000000.0,TX2,analyzed,47.808,160.25,True,19.144442964653585,160.5,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5740000000-tx2-20260911T222518.145806Z/run.json,cfc5bbe93f2dda764ee438a390fad84a6679723a5cf71a40ba6b45279b1db2e4
5741000000.0,TX1,analyzed,47.808,263.75,False,53.81357119415339,263.5,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5741000000-tx1-20260911T222528.236520Z/run.json,493852b4c237dab8dc429d2dc6d40ed3b21cc103fb7b3532f03f776b2d119e4e
5741000000.0,TX2,analyzed,23.904,159.75,True,17.79718038125041,160.0,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5741000000-tx2-20260911T222539.710042Z/run.json,fd168ca7920fd11747c2612e04bad5235f19afbee1505830d814c319a3e8ca77
5742000000.0,TX1,analyzed,47.808,264.0,False,51.17492907033284,263.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5742000000-tx1-20260911T222550.700676Z/run.json,b592255a4e7b113c6382b1ebc41cbab292c0df92cb4e285bd58a1fb1a75bd62d
5742000000.0,TX2,analyzed,47.808,159.5,True,18.494126495928292,159.75,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5742000000-tx2-20260911T222602.812200Z/run.json,481184d0a7329396206dd193d2604f47eb1f58f6d4dcee1687d98dadd54a8ae4
5743000000.0,TX1,analyzed,47.808,265.25,False,48.91067572830019,265.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5743000000-tx1-20260911T222619.895659Z/run.json,d3bbf869ad1b11d27d035cb1b08fa5b6017ffa3a1b4742e34f1e650be286729f
5743000000.0,TX2,analyzed,191.232,279.5,False,50.37840625753694,279.25,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5743000000-tx2-20260911T222630.135650Z/run.json,c14b0a1438e18f4df4e7900e1c20d64dc4e11b6b73434e11fb599d4286c79e6f
5744000000.0,TX1,analyzed,47.808,264.0,False,48.869630572828115,263.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5744000000-tx1-20260911T222649.223519Z/run.json,84b2390e29444c4e041a05eaf99eb74023638fc6f7ac73fca72bdecbe89354d7
5744000000.0,TX2,analyzed,23.904,159.5,True,17.06155162880723,159.75,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5744000000-tx2-20260911T222700.043530Z/run.json,3d2d9cc520f2d47bd343bac9c59d0a293c524cc1c38d46a25507ca87e2db1c79
5745000000.0,TX1,analyzed,47.808,265.25,False,44.408031867331,265.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5745000000-tx1-20260911T222711.944277Z/run.json,b5b85b31ea4b5b87607c74860318c0fa4a886c4c5fbf137a0e73cbaf84b05e6f
