block,run_json,configuration,dwell_us,round,control,any_window_pass,first_phase_pass_ms,error,common_rotation_deg,gain_error_db,maximum_observable_gain_error_db,maximum_observable_phase_bias_deg,passed,raw_phase_bias_deg,relative_phase_bias_deg,weighted_phase_bias_deg
block-20260908T164901336940Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164901336940Z-r1-200us-control-20260908T165054.505689Z/run.json,A,200,1,True,False,,selector marker chain is not locally continuous,,,,,,,,
block-20260908T164901336940Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164901336940Z-r1-1000us-20260908T165109.390474Z/run.json,A,1000,1,False,False,100.46244374417338,,-7.001812741718768,"[-5.420844550611131, -6.326540305243004, -4.397329177511548, -4.938232437713196, -3.466538768701924, -4.751691766505663]",6.326540305243004,6.511142410306411,False,"[-8.676452846980496, -6.420861686463126, -9.5267458350703, -0.49067033141235805, -6.2980536325754235, -2.3420067058670693]","[-1.6746401052617266, 0.580951055255643, -2.5249330933515313, 6.511142410306411, 0.7037591091433444, 4.659806035851699]",3.0960649908492917
block-20260908T164901336940Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164901336940Z-r2-1000us-20260908T165118.580630Z/run.json,A,1000,2,False,False,,selector marker chain is not locally continuous,,,,,,,,
block-20260908T164901336940Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164901336940Z-r2-200us-20260908T165133.255727Z/run.json,A,200,2,False,False,100.14752357451901,,-7.318560928033358,"[-5.402074983086798, -6.37089526316953, -4.361858980034487, -4.8360770630893555, -3.4746499993563256, -4.636973407536877]",6.37089526316953,6.583377351359709,False,"[-8.956998652141719, -6.850849877129304, -10.980276201395691, -0.7351835766736496, -3.4737285666895907, -2.712542004807867]","[-1.6384377241083588, 0.4677110509040545, -3.661715273362333, 6.583377351359709, 3.8448323613437676, 4.606018923225491]",3.1276073651134566
block-20260908T164901336940Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164901336940Z-r2-200us-control-20260908T165142.922762Z/run.json,A,200,2,True,False,,,-6.262294323115705,"[13.886988501050684, 14.100108357581323, 15.048595623229573, 14.554734297932484, 15.664448731324264, 14.452240670282052]",15.048595623229573,5.92668747038833,False,"[-7.753912294492044, -11.03798954556706, -3.5237402075873145, -0.3356068527273736, 2.328374686333016, -2.166634459606087]","[-1.491617971376339, -4.775695222451355, 2.73855411552839, 5.92668747038833, 8.590669009448721, 4.095659863509617]",2.934089549847744
block-20260908T164901336940Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164901336940Z-r3-1000us-20260908T165157.586178Z/run.json,A,1000,3,False,False,6.277500000000001,,-4.73073418290252,"[13.074468295851657, 13.553844893836548, 13.973854740512625, 13.461060438490096, 14.653631640586829, 14.035383913985784]",14.035383913985784,6.862788076009931,False,"[-6.31105265461604, -9.710772616383544, -1.772592907436197, 2.1320538931074102, -0.15596212374379217, -1.1278752102501315]","[-1.580318471713519, -4.980038433481024, 2.9581412754663234, 6.862788076009931, 4.574772059158728, 3.6028589726523887]",3.156257279245578
block-20260908T164901336940Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164901336940Z-r3-200us-20260908T165212.309514Z/run.json,A,200,3,False,False,,analysis requires a passed TX1 fast capture,,,,,,,,
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r1-200us-20260908T171801.183781Z/run.json,A,200,1,False,False,,,23.08944287318889,"[-45.52067307179154, 6.651126493009296, 1.4087727047965037, -5.991112079652733, 7.758689540191223, 7.3153786921540895]",45.52067307179154,169.89798212506497,False,"[20.472925300299632, 120.91704064886271, 18.210450749069693, 5.7542047443422755, -167.01257500174614, -73.98571105231969]","[-2.6165175728892582, 97.8275977756738, -4.8789921241192005, -17.335238128846616, 169.89798212506497, -97.07515392550857]",48.38766991982304
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r1-200us-control-20260908T171810.417243Z/run.json,A,200,1,True,False,,,14.520693570828012,"[-27.662262491252264, 5.89377274329392, 0.9429511985852485, -5.901821685616213, 7.001208170190502, 6.521627792265665]",27.662262491252264,178.91096244605254,False,"[7.967683099058933, 120.32896506894713, 19.0213535569867, 5.607587660786806, -166.56834398311946, -73.59137860904013]","[-6.5530104717690785, 105.80827149811911, 4.500659986158689, -8.913105910041207, 178.91096244605254, -88.11207217986814]",50.93613410217886
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r1-1000us-20260908T171825.016120Z/run.json,A,1000,1,False,True,6.277672522573397,,1.022129525596999,"[-0.028308567305999732, -0.21729367398784197, 0.2664677344443455, 0.38280007997683047, 0.009571055377343223, 0.20652382523531462]",0.38280007997683047,0.7756686979482713,True,"[1.0305795889750948, 1.11913446382775, 1.7977982235452705, 0.7328139979950313, 1.2886673653815188, 0.4932149096815785]","[0.008450063378095646, 0.0970049382307509, 0.7756686979482713, -0.28931552760196777, 0.2665378397845198, -0.5289146159154208]",0.2556191309349646
