configuration,dwell_us,round,control,method,leading_discard_us,sample_count,phase_pass_ms,weighted_phase_bias_deg,maximum_observable_phase_bias_deg,maximum_gain_error_db,passed,run_json
A,100,1,False,legacy,20,148.0,200.89147641211045,2.8547097433242867,23.821041142760663,3.4936103619299086,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,legacy,30,128.0,400.88611587595256,3.7637445074491924,38.68968235343349,3.3336333846900508,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,native_refined,0,188.0,100.44573820605522,3.1959307045279117,28.82045462471837,4.106493830387987,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,native_refined,1,186.0,100.44573820605522,3.074955584435638,27.74329355516591,4.253035769088252,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,native_refined,2,184.0,100.44573820605522,2.957161832233777,26.98666923791087,4.242455710127497,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,native_refined,5,178.0,100.44573820605522,2.928640700918388,25.22284890866281,3.8979655542471656,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,native_refined,10,168.0,100.44573820605522,2.7006773258072747,19.22459660746843,3.9222987392955524,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,native_refined,15,158.0,100.44573820605522,2.653125694799474,23.7032070655687,3.775190355677072,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,native_refined,20,148.0,200.89147641211045,3.1346814099653706,26.151827278187035,3.6711431613944114,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
A,100,1,False,native_refined,30,128.0,400.88611587595256,4.077880132819159,41.266689575287714,3.5207477687091697,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-100us-20260908T071750.764082Z/run.json
B,50,1,False,legacy,0,223.0,100.42252129577821,2.2527004363863696,5.301804518705702,3.337876174719419,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,False,legacy,1,218.0,100.42252129577821,2.324134805589887,5.159719491372995,3.4899230685109295,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,False,legacy,2,213.0,100.42252129577821,2.3167399168170193,4.989939868409614,3.260459902316639,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
B,50,1,False,legacy,5,198.0,100.42252129577821,2.426114381693688,5.1660620632353895,2.8112769780516285,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-50us-20260908T071807.658588Z/run.json
