configuration,dwell_us,round,integration_ms,cycles,groups,active_per_port_ms,weighted_phase_rms_deg,passed,run_json
A,50,1,50.21789443992991,84,79,3.318,18.332488358162877,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
A,50,1,100.43578887985981,168,39,6.636,14.78233270887093,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
A,50,1,200.27374568305382,335,19,13.2325,9.84743037129674,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
A,50,1,400.54749136610764,670,9,26.465,6.918393939286383,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-50us-20260908T071820.375542Z/run.json
D,50,1,0.5978564408714703,1,6689,0.0396,95.8864310480796,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,1.1957128817429405,2,3344,0.0792,76.65490067795972,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,2.391425763485881,4,1672,0.1584,72.61393249353289,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,5.380707967843232,9,743,0.3564,49.61209701313706,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,10.163559494814995,17,393,0.6732,44.72241824563831,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,20.32711898962999,34,196,1.3464,31.400483311975243,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,50.219941033203504,84,79,3.3264,23.424785981283406,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,100.43988206640701,168,39,6.6528,21.202794150122696,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,200.28190769194254,335,19,13.266,19.71241765183787,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
D,50,1,400.56381538388507,670,9,26.532,16.941722563779365,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-D-50us-20260908T071831.764098Z/run.json
B,25,1,0.4484130582587322,1,8920,0.0148,93.67734469082647,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
B,25,1,1.3452391747761965,3,2973,0.0444,80.15337358381095,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
B,25,1,2.242065291293661,5,1784,0.074,66.92284082030848,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
B,25,1,5.380956699104786,12,743,0.1776,51.53959019505505,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
B,25,1,10.31350033995084,23,387,0.3404,42.54498385101304,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
B,25,1,20.178587621642947,45,198,0.666,30.05389192967191,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
B,25,1,50.22226252497801,112,79,1.6576,17.889583990218103,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
B,25,1,100.44452504995601,224,39,3.3152,13.163743899905091,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
