dwell_us,frequency_hz,tx_channel,tx_port,cycle_us,theoretical_scans_per_second,frequency_difference_qualified,frequency_difference_search_objective,frequency_difference_error_hz,single_cycle_phase_rms_deg_maximum_port,single_cycle_phase_rms_deg_maximum_observable_port,single_cycle_phase_rms_deg_power_weighted_ports,phase_10deg_wall_latency_ms,phase_10deg_active_integration_ms,phase_10deg_cycles,phase_10deg_maximum_port_rms_deg,phase_10deg_maximum_observable_port_rms_deg,phase_10deg_power_weighted_rms_deg,observable_port_count,observable_ports,settled_after_selected_edge_us,phase_only_settled_after_selected_edge_us,decode_method,selector_clock_scale,selector_cycle_frequency_hz,decode_periodicity_score,decode_alignment_score,full_bearing_deg,full_bearing_valid,full_bearing_score,full_bearing_residual_phase_rms_deg,run_json
200,5736000000,0,TX1,1500,666.6666666666666,True,,,92.11325493231548,92.11325493231548,60.088857183116666,95.616,12.096,64,24.395114197279515,24.395114197279515,7.4862963607414414,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.1956575126567,0.03737278863345745,0.9192591608260526,100.25,False,0.2556515381590277,76.75260716265217,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5736000000-tx1-20260903T205650.534574Z/run.json
200,5736000000,1,TX2,1500,666.6666666666666,True,0.9076000719251643,-1.8076,24.3341074269159,24.3341074269159,9.293147152972471,1.494,0.189,1,24.3341074269159,24.3341074269159,9.293147152972471,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,26.0,cyclostationary_coherent_fold,0.996,669.2118565196392,0.03589678478936852,0.8590651050806793,178.5,True,0.7197540714666476,25.71119458665838,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5736000000-tx2-20260903T205703.062568Z/run.json
200,5737000000,0,TX1,1500,666.6666666666666,True,,,90.73421384464368,90.73421384464368,57.49589555639417,47.808,6.048,32,32.97572371242662,32.97572371242662,9.988272990969628,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.250902856836,0.03608682736837856,0.9476660735936049,101.5,False,0.2530012725545962,75.03965031192851,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5737000000-tx1-20260903T205717.321847Z/run.json
200,5737000000,1,TX2,1500,666.6666666666666,True,0.8872935459805836,-1.8094000000000001,25.48892121615604,25.48892121615604,10.991532537691443,2.988,0.378,2,18.361167063507853,18.361167063507853,8.497009886738596,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,21.0,cyclostationary_coherent_fold,0.996,669.1762820044518,0.0347895922490594,0.867633520899857,178.25,True,0.7260856281374751,25.864744326369834,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5737000000-tx2-20260903T205730.258518Z/run.json
200,5738000000,0,TX1,1500,666.6666666666666,True,,,91.43478512108305,91.43478512108305,59.32564888657118,95.68,12.096,64,32.04122513524142,32.04122513524142,8.634834821039524,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.9966666666666667,669.115702943741,0.03420010173645776,0.9366571719365451,2.25,False,0.2822534786141335,84.87326908505811,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5738000000-tx1-20260903T205744.638803Z/run.json
200,5738000000,1,TX2,1500,666.6666666666666,True,0.9161331352338954,-1.8076,25.15886503545102,25.15886503545102,8.87134569671346,1.495,0.189,1,25.15886503545102,25.15886503545102,8.87134569671346,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",19.0,9.0,cyclostationary_coherent_fold,0.9966666666666667,669.0712746496519,0.03726508414947596,0.9514573360859165,179.0,True,0.7346488998495656,24.70254050016225,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5738000000-tx2-20260903T205757.490093Z/run.json
200,5739000000,0,TX1,1500,666.6666666666666,True,,,91.49659122013634,91.49659122013634,60.88980918835327,95.616,12.096,64,31.14301808953927,31.14301808953927,8.34740426210951,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.1774233881613,0.03504387676707893,0.9481607222448353,1.5,False,0.3122123217264116,79.6172497033302,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5739000000-tx1-20260903T205811.931645Z/run.json
200,5739000000,1,TX2,1500,666.6666666666666,True,0.9107815877778744,-1.8074000000000001,23.90747990864048,23.90747990864048,9.175703953847242,1.495,0.189,1,23.90747990864048,23.90747990864048,9.175703953847242,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",20.0,13.0,cyclostationary_coherent_fold,0.9966666666666667,669.0326255279318,0.03555953015289897,0.945719184554924,179.0,True,0.737929137795476,24.28652378397893,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5739000000-tx2-20260903T205824.616000Z/run.json
200,5740000000,0,TX1,1500,666.6666666666666,True,,,93.27216921078212,93.27216921078212,62.7573004799038,95.616,12.096,64,26.840214488397685,26.840214488397685,7.667603595408336,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.121939481611,0.033529783953334995,0.9217129129154439,1.25,False,0.3362401063837235,76.62807072383467,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5740000000-tx1-20260903T205838.938764Z/run.json
200,5740000000,1,TX2,1500,666.6666666666666,True,0.9125668128666939,-1.8072000000000001,24.720201351546674,24.720201351546674,9.118706035951721,1.494,0.189,1,24.720201351546674,24.720201351546674,9.118706035951721,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,15.0,cyclostationary_coherent_fold,0.996,669.1289965129984,0.03486983449803829,0.9170827627086519,179.25,True,0.7429550639530397,23.896240180504808,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5740000000-tx2-20260903T205851.758178Z/run.json
