epoch,frequency_hz,port,gain_db,magnitude_db,phase_relative_ant8_deg,phase_rms_10ms_deg,coherence,run_json,sha256
before,915000000,ANT4,50,-23.953554055865624,60.111604303901245,0.48677898260808006,0.9827213643859114,/srv/bulk/samteway/lab-data/tracking-915-diagnostic-20260909-v1/captures/block-20260909T170658793466Z-ref-before-A-ANT4-20260909T170727.028811Z/run.json,248a9ebbb08dac3250657df325fdda2fb011bae5c325bed43623026e86c28ab4
before,915000000,ANT8,50,-26.88515469594406,0.0,0.5217224312205683,0.9759883845387728,/srv/bulk/samteway/lab-data/tracking-915-diagnostic-20260909-v1/captures/block-20260909T170658793466Z-ref-before-A-ANT8-20260909T170739.871208Z/run.json,73f459f510e4fba3bff10a04007cc886e0391966252c02447f93defe2379e5c0
before,915000000,ANT7,50,-25.624889199278122,-46.276530281953875,0.36316194297214166,0.9774118180881978,/srv/bulk/samteway/lab-data/tracking-915-diagnostic-20260909-v1/captures/block-20260909T170658793466Z-ref-before-A-ANT7-20260909T170804.058259Z/run.json,2b62639b903e9abbe670dafff0000be0a9468e3315ba6811a9a44be263193c6a
before,915000000,ANT5,50,-19.125651567466658,-143.85834251557344,0.32886181977069406,0.9915600798630397,/srv/bulk/samteway/lab-data/tracking-915-diagnostic-20260909-v1/captures/block-20260909T170658793466Z-ref-before-A-ANT5-20260909T170820.854484Z/run.json,5877ccf55f3a0417c2d538e11955eb84a8bce8fd7e77ae2cb205ac7c3992187d
after,915000000,ANT1,50,-18.7377449931979,-78.46387922518187,0.12024629051824097,0.9903212868397694,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-915000000-static-ANT1-20260910T043028.748828Z/run.json,b4784f1b6e0cb6620b169b456f7a237d6b6248377aeb1f8c4a41a4309a1ef185
after,915000000,ANT2,50,-29.062662495055108,-45.718259635189256,0.16743391912483982,0.9419263890062085,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-915000000-static-ANT2-20260910T043038.566310Z/run.json,1ec895e38b3772b6166137ef97c09f0fea0ee96ba2ba4998c56f6656ae62e0f1
after,915000000,ANT4,50,-21.848340316148057,-57.98346951947025,0.1059709411405958,0.991935796450048,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-915000000-static-ANT4-20260910T043048.390602Z/run.json,41a610c9f5edefd393bad1deecba3a6e57d884c2559cfc92b05074d465f49d92
after,915000000,ANT8,50,-22.888112847612877,0.0,0.33439376864888076,0.9895638778131348,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-915000000-static-ANT8-20260910T043058.149205Z/run.json,d19932c86bfeb03e19832d192802567c1ad78d99c44ae5d1f7863a2c2820b7a6
after,915000000,ANT7,50,-37.491241023236995,0.27390560036778244,1.7760031143430541,0.7919843880533523,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-915000000-static-ANT7-20260910T043107.965924Z/run.json,1480ff5ee2fa2643a916f6ab6982cd772fdf59339640f4eff1e27f4974c65a95
after,915000000,ANT5,50,-22.53923851786777,-110.67233416772453,0.13683915799682303,0.9913169116079279,/srv/bulk/samteway/lab-data/tracking-jitter-20260910-v1/captures/screen-915000000-static-ANT5-20260910T043117.692716Z/run.json,3a976359d19fb823018bf1e0441db6232bd7916ac6966c9bfe88606c6aaed8ef
