frequency_hz,tx_port,status,frequency_difference_qualified,phase_10deg_wall_latency_ms,full_bearing_deg,full_bearing_valid,full_bearing_residual_phase_rms_deg,nominal_51mm_bearing_deg,nominal_51mm_valid,error,run_json
5726000000,TX1,analyzed,True,11.952,8.75,False,31.668169305106076,9.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5726000000-tx1-20260911T032904.893917Z/run.json
5726000000,TX2,analyzed,True,5.976,348.25,False,59.454366177940194,349.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5726000000-tx2-20260911T032913.959827Z/run.json
5727000000,TX1,analyzed,True,11.952,301.5,False,61.27337998419977,302.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5727000000-tx1-20260911T032923.086067Z/run.json
5727000000,TX2,analyzed,True,5.976,160.75,True,29.27678007291821,161.25,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5727000000-tx2-20260911T032932.190138Z/run.json
5728000000,TX1,analyzed,True,23.904,350.0,False,38.84526694536108,348.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5728000000-tx1-20260911T032941.217630Z/run.json
5728000000,TX2,analyzed,True,5.976,161.0,True,27.673542868303638,161.25,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5728000000-tx2-20260911T032950.305459Z/run.json
5729000000,TX1,analyzed,True,11.952,269.0,False,68.86923838839579,267.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5729000000-tx1-20260911T032959.316056Z/run.json
5729000000,TX2,analyzed,True,5.976,160.5,True,24.262782809159958,161.0,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5729000000-tx2-20260911T033008.459360Z/run.json
5730000000,TX1,analyzed,True,11.952,267.25,False,61.781367773865995,266.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5730000000-tx1-20260911T033017.489370Z/run.json
5730000000,TX2,analyzed,True,,284.25,False,54.24518361174917,283.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5730000000-tx2-20260911T033026.444871Z/run.json
5731000000,TX1,analyzed,True,11.952,266.5,False,58.45503713673824,265.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5731000000-tx1-20260911T033035.579809Z/run.json
5731000000,TX2,analyzed,True,5.976,160.5,True,23.1815351251451,161.0,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5731000000-tx2-20260911T033044.910494Z/run.json
5732000000,TX1,analyzed,True,11.952,265.0,False,28.054416629467553,264.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5732000000-tx1-20260911T033054.341074Z/run.json
5732000000,TX2,analyzed,True,5.976,160.5,True,23.536521585935414,160.75,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5732000000-tx2-20260911T033103.460210Z/run.json
